Device,Group,Module,Name,ID,Brunner_Name,,Scale,Alternate_ID,Annotations,Certainty,State Class,Device Class,Postcall
BHZ3,Status,HK2,Unknown188,0x1c114832,,,,,,,measurement,,
BHZ3,Status,WW,Unknown189,0x1c114c00,,,,,,,measurement,,
BHZ3,Status,WW,Unknown190,0x1c114c04,,,,,,,measurement,,
BHZ3,Status,WW,Unknown191,0x1c114c05,,,,,,,measurement,,
BHZ3,Leistung,WW,,0x1c114c06,,W,100,,,,measurement,POWER,
BHZ3,Status,WW,Unknown192,0x1c114c07,,,,,,,measurement,,
BHZ3,Gesamtleistung,WW,Heute,0x1c114c09,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,WW,Gestern,0x1c114c0a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,WW,5 Tage ohne Heute,0x1c114c0b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,WW,Letzte 4 Wochen ohne Heute,0x1c114c0c,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Status,WW,Unknown193,0x1c114c0d,,,,,,,measurement,,
BHZ3,Status,WW,Unknown194,0x1c114c0e,,,,,,,measurement,,
BHZ3,Status,WW,Unknown195,0x1c114c10,,,,,,,measurement,,
BHZ3,Status,WW,Unknown196,0x1c114c11,,,,,,,measurement,,
BHZ3,Status,WW,Unknown197,0x1c114c12,,,,,,,measurement,,
BHZ3,Status,WW,Unknown198,0x1c114c13,,,,,,,measurement,,
BHZ3,Status,WW,Unknown199,0x1c114c14,,,,,,,measurement,,
BHZ3,Status,WW,Unknown200,0x1c114c15,,,,,,,measurement,,
BHZ3,Status,WW,Unknown201,0x1c114c16,,,,,,,measurement,,
BHZ3,Status,WW,Unknown202,0x1c114c17,,,,,,,measurement,,
BHZ3,Status,WW,Unknown203,0x1c114c18,,,,,,,measurement,,
BHZ3,Status,WW,Unknown204,0x1c114c19,,,,,,,measurement,,
BHZ3,Status,WW,Unknown205,0x1c114c1a,,,,,,,measurement,,
BHZ3,Status,WW,Unknown206,0x1c114c30,,,,,,,measurement,,
BHZ3,Status,WW,Unknown207,0x1c114c31,,,,,,,measurement,,
BHZ3,Status,WW,Unknown208,0x1c114c32,,,,,,,measurement,,
BHZ3,Status,Solar,Unknown209,0x1c115004,,,,,,,measurement,,
BHZ3,Leistung,Solar,,0x1c115006,,W,100,,,,measurement,POWER,
BHZ3,Gesamtleistung,Solar,Heute,0x1c115009,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Solar,Gestern,0x1c11500a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Solar,5 Tage ohne Heute,0x1c11500b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Solar,Letzte 4 Wochen ohne Heute,0x1c11500c,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Status,Solar,Unknown210,0x1c115016,,,,,,,measurement,,
BHZ3,Status,Solar,Unknown211,0x1c115030,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown212,0x1c116015,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown213,0x1c116016,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown214,0x1c116017,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown215,0x1c116018,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown216,0x1c116019,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown217,0x1c11601a,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown218,0x1c11601c,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown219,0x1c11601e,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown220,0x1c116022,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown221,0x1c116023,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown222,0x1c116030,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown223,0x1c116031,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown224,0x1c116042,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown225,0x1c116043,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown226,0x1c11604b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown227,0x1c11604c,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown228,0x1c11800e,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown229,0x1c11a015,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown230,0x1c11c000,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown231,0x1c11e007,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown232,0x1c11e008,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown233,0x1c11e009,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown234,0x1c11e00a,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown235,0x1c11e00b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown236,0x1c11e00c,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown237,0x1c11e00f,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown238,0x1c11e013,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown239,0x1c11e014,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown240,0x1c11e015,,,,,,,measurement,,
EOS7,Temperatur,Festbrennofen,Brennraumtemperatur,0x1cb86000,,°C,0.1,,,,measurement,TEMPERATURE,
EOS7,Temperatur,Festbrennofen,Kesseltemperatur,0x1cb86001,,°C,0.1,,,,measurement,TEMPERATURE,
EOS7,Status,Festbrennofen,Tuer zu,0x1cb86008,,,,,0,1,measurement,,
EOS7,Status,Festbrennofen,Holzart,0x1cb8c00d,,,,,0 - 2,,measurement,,
EOS7,Status,Festbrennofen,Oekobetrieb aus,0x1cb8c00e,,,,,0,1,measurement,,
BHZ3,Status,Unknown,Unknown241,0x4100007,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown242,0xa102000,,,,,,,measurement,,
